Date,SecurityCode,SecurityName,LTP,52WeekHigh,Prev52WHighPrice,Prev52WHighDate,AllTimeHighPrice,AllTimeHighDate
2026-09-23,532922,EDELWEISS,142.0,146.0,144.25,22 Sep 2026,1795.0,02 Jan 2008
2026-09-23,532178,ENGINERSIN,306.1,309.45,304.8,22 Sep 2026,2599.0,25 Mar 2010
2026-09-23,544332,FABCLEAN,547.5,575.0,547.95,22 Sep 2026,575.0,23 Sep 2026
2026-09-23,526227,FILATEX,108.68,111.5,105.54,22 Sep 2026,251.35,05 Jan 2018
2026-09-23,532379,FIRSTFIN,11.49,11.84,11.36,22 Sep 2026,64.0,20 Oct 2011
2026-09-23,543312,FOCUS,275.0,275.0,250.0,22 Sep 2026,275.0,23 Sep 2026
2026-09-23,519242,FRESITA,158.42,158.42,150.88,22 Sep 2026,330.7,10 Nov 2022
2026-09-23,504697,GALADA,24.83,24.83,24.35,21 Sep 2026,110.0,19 Sep 1994
2026-09-23,530615,GARGFUR,207.65,207.65,207.0,15 Sep 2026,441.2,03 Sep 2024
2026-09-23,531463,GBLINFRA,114.86,114.86,112.61,22 Sep 2026,120.65,29 Jan 2018
2026-09-23,543324,GCSL,641.95,648.7,642.75,22 Sep 2026,875.0,31 Dec 2024
2026-09-23,513343,GFSTEELS,26.13,26.13,24.89,22 Sep 2026,117.5,24 Aug 1992
2026-09-23,500670,GNFC,623.0,628.0,619.0,18 Aug 2026,912.0,05 Apr 2022
2026-09-23,544682,GRERENEW,215.65,218.0,194.15,23 Jul 2026,218.0,23 Sep 2026
2026-09-23,590159,GROWWLIQID,110.87,110.87,110.85,22 Sep 2026,110.87,23 Sep 2026
2026-09-23,541627,GUJWIND,11.49,11.7,11.26,28 Aug 2026,30.0,23 Dec 2019
2026-09-23,500178,HARCR,36.54,36.54,35.83,22 Sep 2026,80.0,31 Mar 1992
2026-09-23,543973,HDFCLIQUID,1079.06,1079.06,1078.92,22 Sep 2026,1079.06,23 Sep 2026
2026-09-23,544936,HEROMOTORS,98.51,98.51,,,98.51,23 Sep 2026
2026-09-23,544741,HIGHNESS,228.3,228.3,223.85,22 Sep 2026,228.3,23 Sep 2026
2026-09-23,543916,HSIL,615.05,616.5,594.0,22 Sep 2026,616.5,23 Sep 2026
2026-09-23,521016,ICIL,476.25,486.15,473.75,31 Aug 2026,1248.45,08 Feb 2016
2026-09-23,539437,IDFCFIRSTB,87.89,89.58,88.7,27 Jul 2026,100.74,05 Sep 2023
2026-09-23,544309,IKS,1930.2,1969.0,1933.75,10 Jul 2026,2190.0,26 Dec 2024
2026-09-23,532614,IMPEXFERRO,5.76,5.76,5.65,22 Sep 2026,48.4,09 Feb 2005
2026-09-23,544837,INDOMIM,1251.3,1293.25,1248.0,22 Sep 2026,1293.25,23 Sep 2026
2026-09-23,544919,INFRAX,112.6,112.6,107.95,17 Sep 2026,112.6,23 Sep 2026
2026-09-23,544067,INNOVACAP,1299.35,1350.05,1239.95,22 Sep 2026,1350.05,23 Sep 2026
2026-09-23,544438,INTERNET,15.05,15.06,15.02,16 Oct 2025,16.12,10 Jul 2025
2026-09-23,504786,INVPRECQ,1422.9,1422.9,1407.65,11 Sep 2026,1620.05,02 May 2006
2026-09-23,507580,IVP,233.5,235.0,231.9,22 Sep 2026,350.0,13 Apr 1992
2026-09-23,505212,JAINEX,196.1,218.9,198.0,22 Sep 2026,286.0,20 Dec 2024
2026-09-23,514318,JATTAINDUS,605.8,664.0,652.0,10 Sep 2026,664.0,23 Sep 2026
2026-09-23,544935,JSIPL,127.99,127.99,,,127.99,23 Sep 2026
2026-09-23,544911,KANOHAR,907.6,938.0,905.5,22 Sep 2026,938.0,23 Sep 2026
2026-09-23,532054,KDDL,4254.65,4280.35,4150.0,05 Aug 2026,4280.35,23 Sep 2026
2026-09-23,507180,KESARENT,13.21,13.22,12.97,22 Sep 2026,279.75,10 Apr 2006
2026-09-23,524500,KILITCH,223.85,223.85,219.68,28 Oct 2025,500.05,28 May 2025
2026-09-23,524280,KOPRAN,279.3,287.6,286.5,21 Sep 2026,830.0,08 Feb 1994
2026-09-23,544253,KROSS,278.25,282.9,262.75,22 Sep 2026,282.9,23 Sep 2026
2026-09-23,500235,KSL,996.2,1032.0,1001.65,17 Sep 2026,1278.9,17 Dec 2024
2026-09-23,544879,LALITHAA,352.8,352.8,344.45,10 Sep 2026,352.8,23 Sep 2026
2026-09-23,540222,LAURUSLABS,2034.8,2037.45,2032.5,22 Sep 2026,2037.45,23 Sep 2026
2026-09-23,590139,LIQUID1,1123.82,1123.82,1123.68,22 Sep 2026,1123.82,23 Sep 2026
2026-09-23,544159,LIQUIDADD,1145.92,1145.94,1145.79,22 Sep 2026,1145.94,23 Sep 2026
2026-09-23,544182,LIQUIDBETF,1099.92,1099.92,1099.78,22 Sep 2026,1099.92,23 Sep 2026
2026-09-23,544469,LOTUSDEV,224.95,225.3,219.4,17 Sep 2026,225.3,23 Sep 2026
2026-09-23,532796,LUMAXTECH,2045.4,2187.75,2149.0,01 Sep 2026,2187.75,23 Sep 2026
